ID; Date; type; name; number; cost; totCost;;;;;;
0;20121101;Еда;Капуста;1.0;5.6;5.6;;;;;;
1;20121101;Медицина;Пломба;1.0;250.0;250.0;;;;;;
2;20121101;Еда;Творог;1.0;28.0;28.0;;;;;;
3;20121101;Медицина;Чистка зубов;1.0;150.0;150.0;;;;;;
4;20121102;Хоз.Товары;Зубная паста Lacalut basic;1.0;17.2;17.2;;;;;;
5;20121102;Хоз.Товары;Зубная паста Lacalut fluor;1.0;19.9;19.9;;;;;;
6;20121102;Еда;Куриное филе;1.0;40.5;40.5;;;;;;
7;20121102;Еда;Огурцы;1.0;18.0;18.0;;;;;;
8;20121102;Прочее;Открытка;1.0;4.8;4.8;;;;;;
9;20121102;Еда;Помидоры;1.0;17.0;17.0;;;;;;
10;20121102;Хоз.Товары;Спички;2.0;0.3;0.6;;;;;;
11;20121105;Кварт. услуги;Абонплата Портмоне;1.0;9.9;9.9;;;;;;
12;20121105;Хоз.Товары;Грунт;1.0;16.5;16.5;;;;;;
13;20121105;Прочее;Замок почтового ящика;1.0;9.0;9.0;;;;;;
14;20121105;Еда;Зелень;2.0;2.0;4.0;;;;;;
15;20121105;Кварт. услуги;Квартплата;1.0;367.63;367.63;;;;;;
16;20121105;Прочее;Леша свадьба;1.0;1100.0;1100.0;;;;;;
17;20121105;Еда;Сметана;1.0;15.5;15.5;;;;;;
18;20121105;Кварт. услуги;Электричество;1.0;24.1;24.1;;;;;;
19;20121020;Одежда;Ботинки;1.0;550.0;550.0;;;;;;
20;20121020;Одежда;Брюки;1.0;590.0;590.0;;;;;;
21;20121020;Еда;Закваска;1.0;8.5;8.5;;;;;;
22;20121020;Одежда;Куртка;1.0;990.0;990.0;;;;;;
23;20121020;Еда;Мясо свинина;1.0;77.0;77.0;;;;;;
24;20121020;Еда;Перец;1.0;12.0;12.0;;;;;;
25;20121020;Еда;Помидоры;1.0;12.0;12.0;;;;;;
26;20121020;Хоз.Товары;термометр;1.0;50.0;50.0;;;;;;
27;20121021;Еда;бананы;1.0;20.0;20.0;;;;;;
28;20121021;Еда;виноград;1.5;30.0;45.0;;;;;;
29;20121021;Хоз.Товары;гладильная доска;1.0;370.0;370.0;;;;;;
30;20121021;Хоз.Товары;утюг;1.0;379.0;379.0;;;;;;
31;20121025;Хоз.Товары;Вилки;6.0;8.0;48.0;;;;;;
32;20121025;Еда;Вино Саперави;1.0;66.99;66.99;;;;;;
33;20121025;Еда;Виноград;1.85;30.0;55.5;;;;;;
34;20121025;Еда;Горошек консервированный;1.0;8.79;8.79;;;;;;
35;20121025;Хоз.Товары;Заварник для чая;1.0;79.94;79.94;;;;;;
36;20121025;Еда;Капуста пекинская;1.0;4.0;4.0;;;;;;
37;20121025;Хоз.Товары;Кастрюля большая;1.0;140.0;140.0;;;;;;
38;20121025;Еда;Конфеты Корона Асорти;1.0;26.24;26.24;;;;;;
39;20121025;Еда;Креветки;1.0;54.17;54.17;;;;;;
40;20121025;Еда;Кукуруза консервированная;1.0;10.04;10.04;;;;;;
41;20121025;Еда;Куриные бедрышки;1.93;22.6;43.618;;;;;;
42;20121025;Хоз.Товары;Лампа 100 Вт;1.0;3.48;3.48;;;;;;
43;20121025;Хоз.Товары;Лампочка 100Вт;1.0;5.0;5.0;;;;;;
44;20121025;Хоз.Товары;Лампочка 12В 20Вт;2.0;5.0;10.0;;;;;;
45;20121025;Еда;Лимон;2.0;3.0;6.0;;;;;;
46;20121025;Еда;Огурцы;1.0;15.0;15.0;;;;;;
47;20121025;Еда;Оливки 300г;1.0;13.78;13.78;;;;;;
48;20121025;Хоз.Товары;Пакет;1.0;0.5;0.5;;;;;;
49;20121025;Хоз.Товары;Патрон;2.0;4.5;9.0;;;;;;
50;20121025;Еда;Перец;0.33;6.0;1.98;;;;;;
51;20121025;Еда;Перец черный меленый;1.0;3.34;3.34;;;;;;
52;20121025;Хоз.Товары;Салфетки;1.0;4.27;4.27;;;;;;
53;20121025;Хоз.Товары;Скатерть;2.0;220.0;440.0;;;;;;
